resample,ghost_custom_frac,organic_custom_frac,separation
234,1.0,0.3333333333333333,0.6666666666666667
235,1.0,0.26666666666666666,0.7333333333333334
236,1.0,0.3333333333333333,0.6666666666666667
237,1.0,0.03333333333333333,0.9666666666666667
238,1.0,0.23333333333333334,0.7666666666666666
239,1.0,0.4,0.6
240,1.0,0.36666666666666664,0.6333333333333333
241,1.0,0.4,0.6
242,1.0,0.26666666666666666,0.7333333333333334
243,1.0,0.2,0.8
244,1.0,0.13333333333333333,0.8666666666666667
245,1.0,0.13333333333333333,0.8666666666666667
246,1.0,0.36666666666666664,0.6333333333333333
247,1.0,0.3333333333333333,0.6666666666666667
248,1.0,0.2,0.8
249,1.0,0.06666666666666667,0.9333333333333333
250,1.0,0.3333333333333333,0.6666666666666667
251,1.0,0.36666666666666664,0.6333333333333333
252,1.0,0.26666666666666666,0.7333333333333334
253,1.0,0.26666666666666666,0.7333333333333334
254,1.0,0.3333333333333333,0.6666666666666667
255,1.0,0.36666666666666664,0.6333333333333333
256,1.0,0.23333333333333334,0.7666666666666666
257,1.0,0.3,0.7
258,1.0,0.23333333333333334,0.7666666666666666
259,1.0,0.36666666666666664,0.6333333333333333
260,1.0,0.3,0.7
261,1.0,0.2,0.8
262,1.0,0.3,0.7
263,1.0,0.3333333333333333,0.6666666666666667
264,1.0,0.36666666666666664,0.6333333333333333
265,1.0,0.23333333333333334,0.7666666666666666
266,1.0,0.23333333333333334,0.7666666666666666
267,1.0,0.26666666666666666,0.7333333333333334
268,1.0,0.2,0.8
269,1.0,0.23333333333333334,0.7666666666666666
270,1.0,0.3333333333333333,0.6666666666666667
271,1.0,0.2,0.8
272,1.0,0.36666666666666664,0.6333333333333333
273,1.0,0.3333333333333333,0.6666666666666667
274,1.0,0.3,0.7
275,1.0,0.36666666666666664,0.6333333333333333
276,1.0,0.4,0.6
277,1.0,0.23333333333333334,0.7666666666666666
278,1.0,0.23333333333333334,0.7666666666666666
279,1.0,0.3,0.7
280,1.0,0.16666666666666666,0.8333333333333334
281,1.0,0.26666666666666666,0.7333333333333334
282,1.0,0.23333333333333334,0.7666666666666666
283,1.0,0.4666666666666667,0.5333333333333333
284,1.0,0.23333333333333334,0.7666666666666666
285,1.0,0.16666666666666666,0.8333333333333334
286,1.0,0.2,0.8
287,1.0,0.2,0.8
288,1.0,0.16666666666666666,0.8333333333333334
289,1.0,0.3,0.7
290,1.0,0.3,0.7
291,1.0,0.23333333333333334,0.7666666666666666
292,1.0,0.23333333333333334,0.7666666666666666
293,1.0,0.36666666666666664,0.6333333333333333
294,1.0,0.2,0.8
295,1.0,0.1,0.9
296,1.0,0.26666666666666666,0.7333333333333334
297,1.0,0.26666666666666666,0.7333333333333334
298,1.0,0.2,0.8
299,1.0,0.2,0.8
300,1.0,0.3333333333333333,0.6666666666666667
301,1.0,0.13333333333333333,0.8666666666666667
302,1.0,0.13333333333333333,0.8666666666666667
303,1.0,0.26666666666666666,0.7333333333333334
304,1.0,0.16666666666666666,0.8333333333333334
305,1.0,0.23333333333333334,0.7666666666666666
306,1.0,0.26666666666666666,0.7333333333333334
307,1.0,0.16666666666666666,0.8333333333333334
308,1.0,0.3333333333333333,0.6666666666666667
309,1.0,0.23333333333333334,0.7666666666666666
310,1.0,0.16666666666666666,0.8333333333333334
311,1.0,0.23333333333333334,0.7666666666666666
312,1.0,0.36666666666666664,0.6333333333333333
313,1.0,0.3333333333333333,0.6666666666666667
314,1.0,0.4,0.6
315,1.0,0.3333333333333333,0.6666666666666667
316,1.0,0.36666666666666664,0.6333333333333333
317,1.0,0.3333333333333333,0.6666666666666667
318,1.0,0.26666666666666666,0.7333333333333334
319,1.0,0.3,0.7
320,1.0,0.2,0.8
321,1.0,0.36666666666666664,0.6333333333333333
322,1.0,0.3333333333333333,0.6666666666666667
323,1.0,0.2,0.8
324,1.0,0.2,0.8
325,1.0,0.3,0.7
326,1.0,0.16666666666666666,0.8333333333333334
327,1.0,0.3333333333333333,0.6666666666666667
328,1.0,0.4,0.6
329,1.0,0.4,0.6
330,1.0,0.26666666666666666,0.7333333333333334
331,1.0,0.3333333333333333,0.6666666666666667
332,1.0,0.26666666666666666,0.7333333333333334
333,1.0,0.16666666666666666,0.8333333333333334
334,1.0,0.2,0.8
335,1.0,0.2,0.8
336,1.0,0.23333333333333334,0.7666666666666666
337,1.0,0.36666666666666664,0.6333333333333333
338,1.0,0.2,0.8
339,1.0,0.2,0.8
340,1.0,0.26666666666666666,0.7333333333333334
341,1.0,0.36666666666666664,0.6333333333333333
342,1.0,0.26666666666666666,0.7333333333333334
343,1.0,0.2,0.8
344,1.0,0.26666666666666666,0.7333333333333334
345,1.0,0.36666666666666664,0.6333333333333333
346,1.0,0.4,0.6
347,1.0,0.3,0.7
348,1.0,0.4,0.6
349,1.0,0.16666666666666666,0.8333333333333334
350,1.0,0.4,0.6
351,1.0,0.2,0.8
352,1.0,0.16666666666666666,0.8333333333333334
353,1.0,0.1,0.9
354,1.0,0.3,0.7
355,1.0,0.26666666666666666,0.7333333333333334
356,1.0,0.3,0.7
357,1.0,0.23333333333333334,0.7666666666666666
358,1.0,0.23333333333333334,0.7666666666666666
359,1.0,0.2,0.8
360,1.0,0.13333333333333333,0.8666666666666667
361,1.0,0.3333333333333333,0.6666666666666667
362,1.0,0.2,0.8
363,1.0,0.3,0.7
364,1.0,0.4666666666666667,0.5333333333333333
365,1.0,0.3333333333333333,0.6666666666666667
366,1.0,0.26666666666666666,0.7333333333333334
367,1.0,0.23333333333333334,0.7666666666666666
